motion_thresh,med_rsq,CI_95,n,age_l,age_u,med_age_motion_r_a,med_age_motion_p_a,med_age_motion_r_b,med_age_motion_p_b
20.0,-1.03238860694,2.90766960447,40.0,6.0,18.0,-0.145222813224,0.355028369233,-0.129644303437,0.346437983635
20.0,-0.975227893747,3.09488389716,50.0,6.0,18.0,-0.100541335648,0.423358719731,-0.11988545485,0.390038486892
20.0,-0.963079359966,3.29440919136,60.0,6.0,18.0,-0.126339881925,0.308188683363,-0.108784863856,0.373570791164
20.0,-0.823122631664,2.73639333017,70.0,6.0,18.0,-0.109443495059,0.349050608515,-0.115815396856,0.339717951603
20.0,-0.751805795746,2.51984455794,80.0,6.0,18.0,-0.105962242267,0.343594988637,-0.123982896023,0.273205688876
20.0,-0.748532373459,2.70777996011,90.0,6.0,18.0,-0.110122032572,0.301489023145,-0.131330114225,0.202694008051
20.0,-0.664902025689,3.56630438904,100.0,6.0,18.0,-0.0920967054276,0.338683476249,-0.142241832433,0.158067991226
25.0,-1.34191003024,3.2415462107,10.0,6.0,18.0,-0.173191372926,0.452829140337,-0.11376869349,0.466511690286
25.0,-1.270834812,4.00022519415,20.0,6.0,18.0,-0.0654290433272,0.389039266789,-0.119704548829,0.499161683554
25.0,-1.17965995187,2.35006392679,30.0,6.0,18.0,-0.158332684969,0.374686464463,-0.118529726109,0.415977774322
25.0,-1.02706403204,2.27364550271,40.0,6.0,18.0,-0.100249222607,0.414865326955,-0.102859951495,0.395423513626
25.0,-0.985325727152,2.56851113972,50.0,6.0,18.0,-0.0896083917807,0.394187248176,-0.093903981631,0.464773453735
25.0,-0.797632343257,2.26412091555,60.0,6.0,18.0,-0.100449601145,0.410808667326,-0.138453007032,0.287441299287
25.0,-0.819067016294,2.63518721828,70.0,6.0,18.0,-0.114678507937,0.341753686935,-0.104746294571,0.375213664074
25.0,-0.937766877425,3.32711537056,80.0,6.0,18.0,-0.126544741126,0.243274879178,-0.106298132444,0.336896950942
25.0,-0.6811719942,3.08414983598,90.0,6.0,18.0,-0.109772348357,0.303236719072,-0.129840557163,0.222592765312
25.0,-0.689320854608,2.76595843227,100.0,6.0,18.0,-0.11606278991,0.238238444233,-0.112368201573,0.257623294938
30.0,-1.22317424136,3.32917532942,10.0,6.0,18.0,-0.156868763354,0.393102782903,-0.192262735846,0.49136617119
30.0,-1.15375699492,4.54482867959,20.0,6.0,18.0,-0.135425596603,0.425736977462,-0.148617798189,0.437196007938
30.0,-0.988131390671,2.85678516766,30.0,6.0,18.0,-0.132889920289,0.418125190906,-0.1693557352,0.309886280814
30.0,-0.912882635902,3.45186594686,40.0,6.0,18.0,-0.131798860305,0.396597709205,-0.155768216781,0.290198718905
30.0,-0.870718202756,2.73681487709,50.0,6.0,18.0,-0.178523117213,0.20534109026,-0.198706228848,0.166553833887
30.0,-0.888510040635,3.25319424301,60.0,6.0,18.0,-0.142978354115,0.276138707768,-0.156352065312,0.228684927804
30.0,-0.6958112498,3.02510126674,70.0,6.0,18.0,-0.145144764778,0.230582131351,-0.143748099778,0.231770679385
