motion_thresh,med_rsq,CI_95,med_icc,CI_95_icc,n,age_l,age_u
25.0,0.934077099942,0.0877877904963,0.967611194679,0.0406433139024,40.0,6.0,18.0
70.0,0.961078826826,0.0469989734735,0.980717948287,0.0235450483915,70.0,6.0,18.0
35.0,0.911270595921,0.177765152258,0.956096137943,0.0764895127141,30.0,6.0,18.0
45.0,0.956559983611,0.0740470219189,0.977917795001,0.0365042154019,60.0,6.0,18.0
15.0,0.947771861004,0.0780156989854,0.973577851252,0.0381816758107,50.0,6.0,18.0
75.0,0.861090340334,0.192418302252,0.932072520536,0.0957944823475,20.0,6.0,18.0
55.0,0.947670036049,0.055619084919,0.973957933878,0.0282026162163,50.0,6.0,18.0
5.0,0.742099986517,0.260270492506,0.874313564011,0.119526931265,10.0,6.0,18.0
70.0,0.970513500554,0.0487485435465,0.985213568258,0.0244325660014,90.0,6.0,18.0
80.0,0.971075098578,0.0368014267792,0.985520317212,0.018723741836,90.0,6.0,18.0
30.0,0.907365794494,0.106975069687,0.953528031147,0.0496313117192,30.0,6.0,18.0
65.0,0.971621271027,0.0594372239693,0.985716701499,0.0277287639915,100.0,6.0,18.0
35.0,0.73944868303,0.672498088693,0.87600351601,0.271896501016,10.0,6.0,18.0
60.0,0.91249062625,0.124973771612,0.956938117879,0.0622869552499,30.0,6.0,18.0
70.0,0.965821128949,0.0516147932464,0.982987691874,0.0235535971421,80.0,6.0,18.0
30.0,0.953146409732,0.0761064177229,0.977090266599,0.0347580939151,60.0,6.0,18.0
70.0,0.911017304137,0.206717045326,0.956115976369,0.0987461560575,30.0,6.0,18.0
40.0,0.935778241386,0.121377085709,0.967900030344,0.056330563029,40.0,6.0,18.0
45.0,0.967337646585,0.055910708278,0.983646186889,0.0282053853919,80.0,6.0,18.0
60.0,0.746018497485,0.413657374725,0.871959353708,0.189949487202,10.0,6.0,18.0
25.0,0.962426951856,0.0565136256691,0.981362346849,0.0285036468806,70.0,6.0,18.0
45.0,0.946093608037,0.0968815478301,0.97331475229,0.0470955787929,50.0,6.0,18.0
