motion_thresh,med_rsq,CI_95,med_icc,CI_95_icc,n,age_l,age_u
40.0,0.969757194647,0.053528291133,0.985017131191,0.0286120242919,90.0,9.0,12.0
15.0,0.91757153411,0.0955005005979,0.95864846863,0.048537016855,30.0,11.0,14.0
20.0,0.979090978625,0.0229111981438,0.989480319854,0.0116569455467,150.0,13.0,16.0
40.0,0.979317343799,0.0311414666081,0.989663858596,0.0164818073561,210.0,9.0,12.0
25.0,0.979952295369,0.0213442129967,0.990032165806,0.0106982245026,240.0,12.0,15.0
10.0,0.968098879589,0.0198287493436,0.984088691737,0.0100659462857,180.0,9.0,12.0
45.0,0.957258940734,0.0628833306545,0.978606184623,0.0287795663786,300.0,6.0,9.0
50.0,0.983416646599,0.0228804085509,0.9917052244,0.0111280078133,210.0,11.0,14.0
30.0,0.976132044715,0.0327401208634,0.988099342243,0.0155386620188,300.0,14.0,17.0
15.0,0.977033081336,0.0258683761697,0.988155366028,0.013413864247,180.0,10.0,13.0
40.0,0.9761586408,0.0239855422844,0.988176699724,0.0123325346116,150.0,8.0,11.0
35.0,0.954917875977,0.0858050228602,0.977806086784,0.038442422317,60.0,10.0,13.0
45.0,0.97710280977,0.0419597987975,0.988386248799,0.0212363464049,180.0,10.0,13.0
15.0,0.963797738094,0.0564233306573,0.98187653489,0.0258241989075,240.0,15.0,18.0
35.0,0.982677745308,0.0212155294398,0.991301590698,0.0109191875355,270.0,11.0,14.0
50.0,0.969459042746,0.0428439065677,0.984905945344,0.020599210036,90.0,12.0,15.0
40.0,0.956924923852,0.0460446855591,0.978723515999,0.023287084019,90.0,6.0,9.0
45.0,0.982790823649,0.01813246632,0.991258810828,0.00905468292212,210.0,12.0,15.0
50.0,0.970944522491,0.0341235819316,0.98555955527,0.0172255285286,240.0,7.0,10.0
30.0,0.909092331356,0.167559720404,0.954593531694,0.0751772219939,30.0,9.0,12.0
15.0,0.972274956105,0.029096279526,0.985633270082,0.0155026775723,240.0,9.0,12.0
30.0,0.970603419624,0.0336640343892,0.985429413861,0.0172146412135,120.0,15.0,18.0
35.0,0.952603459041,0.0965164437715,0.976215155702,0.0434098689547,60.0,9.0,12.0
5.0,0.970615435896,0.0291587006346,0.985310042206,0.0144102412756,240.0,12.0,15.0
10.0,0.93438636373,0.0639222665919,0.966884975233,0.0334693707592,120.0,6.0,9.0
50.0,0.974842991963,0.0392694971918,0.987291705333,0.0205370876393,240.0,8.0,11.0
50.0,0.979278938128,0.021933632848,0.989640350397,0.0106796772418,210.0,13.0,16.0
50.0,0.90470358907,0.218240280622,0.953364825941,0.0970937459909,30.0,6.0,9.0
5.0,0.963368167016,0.0329823628495,0.981791315988,0.0160930390135,90.0,14.0,17.0
50.0,0.982890824525,0.0212326607035,0.991421538957,0.0101908967058,270.0,9.0,12.0
25.0,0.935594121534,0.120080395814,0.969037365163,0.0545449187293,240.0,7.0,10.0
35.0,0.966809706448,0.0437046009925,0.983696208081,0.0198325408202,210.0,7.0,10.0
40.0,0.980618722272,0.0304363287165,0.990149304051,0.0158232680303,240.0,9.0,12.0
25.0,0.97613084972,0.0427176455795,0.987937070652,0.0218834276096,210.0,10.0,13.0
35.0,0.977871865858,0.0264183186298,0.988920743145,0.0130368458613,120.0,8.0,11.0
50.0,0.977901174874,0.0419681686489,0.988797047939,0.0210646893377,150.0,10.0,13.0
5.0,0.962057811742,0.0408031547859,0.981045445217,0.0206374292579,240.0,10.0,13.0
30.0,0.981257389088,0.0304151457551,0.990769969588,0.0143358328191,210.0,11.0,14.0
5.0,0.955556877119,0.0697330118965,0.978106271809,0.0349925806021,60.0,13.0,16.0
30.0,0.952843292391,0.0545537833717,0.976916963076,0.0254567958757,270.0,6.0,9.0
10.0,0.953499637535,0.0462226716139,0.976769521991,0.024072612669,60.0,8.0,11.0
10.0,0.955086665735,0.0453731905739,0.976992880388,0.0215445373104,120.0,7.0,10.0
10.0,0.977880280177,0.0196798500648,0.988701942951,0.0100034887241,150.0,12.0,15.0
15.0,0.957631745552,0.0591424374026,0.978622882105,0.0284962219087,60.0,10.0,13.0
40.0,0.981586647531,0.0339102023302,0.990782090784,0.0175983247723,270.0,10.0,13.0
20.0,0.964403622443,0.0514186185294,0.982381736585,0.0241354878092,90.0,15.0,18.0
5.0,0.933199548797,0.0607610758604,0.966544144945,0.0284636280508,300.0,7.0,10.0
35.0,0.977539276776,0.0395892058629,0.988904234702,0.0188847511614,120.0,14.0,17.0
35.0,0.95742988176,0.0496838295204,0.979020152585,0.0259829755346,210.0,6.0,9.0
50.0,0.982666841906,0.0190171250876,0.991264092367,0.00947884359654,270.0,12.0,15.0
45.0,0.970834438541,0.0491086120581,0.985402435178,0.0232611471056,90.0,9.0,12.0
15.0,0.947655740771,0.0387618402921,0.973461562996,0.020148708271,270.0,6.0,9.0
35.0,0.957124452024,0.0518914392676,0.978681339983,0.02513581455,60.0,6.0,9.0
25.0,0.978338837321,0.0327499772049,0.989027269305,0.0171010084409,300.0,10.0,13.0
35.0,0.977505740707,0.023679248293,0.988724756776,0.0116237456811,270.0,8.0,11.0
5.0,0.958755110149,0.0504794927682,0.979197899802,0.0250309506114,60.0,12.0,15.0
45.0,0.983883583229,0.0215033793922,0.991915257812,0.0108716064651,300.0,11.0,14.0
20.0,0.970988159066,0.0387663155614,0.985497855856,0.018258268147,270.0,14.0,17.0
10.0,0.977378820838,0.021050127466,0.988465219484,0.0108008647986,300.0,12.0,15.0
5.0,0.901737389727,0.138029800127,0.951256521311,0.0666915426312,30.0,7.0,10.0
35.0,0.981843371785,0.0223707768307,0.990939164833,0.0113123921533,240.0,11.0,14.0
45.0,0.952349215408,0.0608196100829,0.976435888792,0.0289527288958,60.0,6.0,9.0
45.0,0.956825707029,0.0691849643005,0.977911854459,0.0331209226064,60.0,11.0,14.0
20.0,0.964789812998,0.0536144584441,0.982552257085,0.0249849488607,120.0,8.0,11.0
5.0,0.96212421778,0.0429498657774,0.980749755895,0.0221111642997,90.0,10.0,13.0
10.0,0.908015518522,0.127380137079,0.95399241107,0.058368626549,30.0,7.0,10.0
45.0,0.95646376883,0.0671693178041,0.978296684791,0.0304087374618,270.0,6.0,9.0
45.0,0.953484018164,0.0534505594269,0.976701085741,0.0267725897577,60.0,15.0,18.0
15.0,0.970203342889,0.0427767707147,0.985133025731,0.0219411530497,120.0,13.0,16.0
15.0,0.975737532294,0.0304347816626,0.987839945676,0.0155305298814,240.0,12.0,15.0
35.0,0.977098372004,0.0232027628613,0.988556961648,0.0114901718016,150.0,8.0,11.0
50.0,0.982361528452,0.0269071606462,0.991118510281,0.0136228455689,240.0,9.0,12.0
45.0,0.981034319081,0.0226978309476,0.990635275353,0.0106137789396,300.0,9.0,12.0
35.0,0.979165809822,0.026254525679,0.989629464094,0.0132172794666,270.0,9.0,12.0
20.0,0.981839733353,0.0153478618358,0.99073928126,0.00815205441691,300.0,12.0,15.0
30.0,0.980288732557,0.0248158443892,0.990105968601,0.0123101395571,180.0,10.0,13.0
40.0,0.982652405032,0.0202956020883,0.991234055176,0.0103700893538,300.0,10.0,13.0
25.0,0.934713545233,0.131315758496,0.968927659237,0.0581089298747,270.0,7.0,10.0
35.0,0.967632780703,0.0403724916472,0.984190296187,0.0210261553208,180.0,7.0,10.0
10.0,0.936641286236,0.0732212584774,0.967926120064,0.0377518369185,180.0,6.0,9.0
10.0,0.961606691546,0.0342973707722,0.981016692296,0.0180275469892,300.0,15.0,18.0
40.0,0.955770950378,0.0512695226238,0.9780548462,0.025078933581,60.0,14.0,17.0
25.0,0.913675775067,0.178069522121,0.956881273787,0.0803382863943,30.0,11.0,14.0
50.0,0.952579377335,0.0817583119881,0.976141336736,0.0376223189845,60.0,6.0,9.0
40.0,0.977690812422,0.0289855643935,0.988770957679,0.0151708509999,240.0,8.0,11.0
15.0,0.968427911258,0.0391583749414,0.984179520438,0.0190403049378,90.0,10.0,13.0
35.0,0.955774206547,0.0572253882148,0.978137821979,0.0279694581731,120.0,6.0,9.0
25.0,0.978960508885,0.0320840255121,0.989286141973,0.0165037418526,150.0,10.0,13.0
35.0,0.967569637,0.038001438106,0.984103637949,0.017858547017,270.0,7.0,10.0
10.0,0.977967665848,0.0164459867881,0.988971629247,0.0080917463867,270.0,11.0,14.0
5.0,0.903538954066,0.117881644313,0.951899824923,0.0558297702115,30.0,9.0,12.0
5.0,0.95136550436,0.0360566859037,0.975803999852,0.0190050159432,210.0,8.0,11.0
25.0,0.953461858427,0.0765242734923,0.97652010269,0.0398577035608,90.0,6.0,9.0
40.0,0.956000542903,0.0431732573879,0.978189980837,0.0217616975339,60.0,12.0,15.0
40.0,0.981537222912,0.0369137840841,0.990815611779,0.0187174428973,180.0,12.0,15.0
30.0,0.910503803515,0.161098162987,0.955581925423,0.0792544746969,30.0,10.0,13.0
35.0,0.977855684761,0.0200687703833,0.98905271022,0.00945002216952,180.0,14.0,17.0
5.0,0.96513761453,0.034953158014,0.982585305771,0.0168881483558,180.0,14.0,17.0
45.0,0.981151212281,0.0327598115334,0.990610726738,0.0156348925329,270.0,9.0,12.0
20.0,0.971917718292,0.051116766762,0.985715235464,0.0258523504126,90.0,13.0,16.0
5.0,0.969907122436,0.0245946856536,0.985053482734,0.0118635692619,120.0,11.0,14.0
20.0,0.968347086847,0.0386554540357,0.984009479073,0.0190472941279,90.0,7.0,10.0
35.0,0.970011753505,0.0456117807229,0.985190764174,0.0233370872179,90.0,8.0,11.0
35.0,0.966833885215,0.0262380780345,0.98388936147,0.0131966229863,150.0,7.0,10.0
